author_id,perplexity,x,y,forget_class,kmeans_cluster
59,15,0.922933,1.449929,retain (0–179),3
60,15,-4.661144,-0.159962,retain (0–179),1
61,15,-0.028525,0.677736,retain (0–179),2
62,15,-0.187549,3.723688,retain (0–179),0
63,15,3.465316,-2.023864,retain (0–179),3
64,15,-3.600549,-3.682967,retain (0–179),1
65,15,-4.395330,-1.613197,retain (0–179),2
66,15,-1.376152,-2.203398,retain (0–179),1
67,15,-0.366956,-2.774416,retain (0–179),1
68,15,-2.930755,0.321075,retain (0–179),1
69,15,-1.500526,3.838960,retain (0–179),1
70,15,-2.521260,-1.214811,retain (0–179),1
71,15,5.470868,-0.818092,retain (0–179),1
72,15,1.658521,-0.305585,retain (0–179),3
73,15,-0.439437,0.315784,retain (0–179),3
74,15,-1.093244,1.242438,retain (0–179),2
75,15,0.916385,-0.754500,retain (0–179),2
76,15,-3.261187,5.267785,retain (0–179),3
77,15,0.255347,1.462647,retain (0–179),4
78,15,-1.600273,5.341725,retain (0–179),1
79,15,-0.659539,2.179103,retain (0–179),5
80,15,-3.683252,5.926156,retain (0–179),0
81,15,4.369240,4.657872,retain (0–179),0
82,15,-0.368977,4.748730,retain (0–179),0
83,15,1.762039,-0.223375,retain (0–179),3
84,15,0.521171,2.358133,retain (0–179),2
85,15,-3.181803,6.185917,retain (0–179),1
86,15,2.105518,2.948175,retain (0–179),4
87,15,-4.915401,0.112943,retain (0–179),4
88,15,-1.332573,2.864174,retain (0–179),1
89,15,-2.047319,0.206644,retain (0–179),5
90,15,2.968399,1.035954,retain (0–179),4
91,15,0.515897,5.011333,retain (0–179),3
92,15,2.595649,3.661647,retain (0–179),1
93,15,4.924965,-1.400217,retain (0–179),5
94,15,0.850923,-1.290851,retain (0–179),5
95,15,1.288767,5.428274,retain (0–179),0
96,15,5.600893,1.682471,retain (0–179),2
97,15,-1.511119,-4.499123,retain (0–179),1
98,15,2.462401,2.929220,retain (0–179),2
99,15,-0.665256,0.404689,retain (0–179),4
100,15,4.043387,-2.425186,retain (0–179),3
101,15,-1.243263,2.018842,retain (0–179),4
102,15,-1.593990,2.674132,retain (0–179),0
103,15,0.674823,2.987252,retain (0–179),0
104,15,1.178324,-3.705370,retain (0–179),2
105,15,1.443922,-0.874975,retain (0–179),1
106,15,-1.807033,4.928626,retain (0–179),3
107,15,-2.493104,6.540855,retain (0–179),1
108,15,2.452289,4.486403,retain (0–179),0
109,15,-1.561816,-0.345162,retain (0–179),3
110,15,2.575795,4.195093,retain (0–179),0
111,15,-0.664232,-1.739330,retain (0–179),1
112,15,-2.596139,2.241589,retain (0–179),2
113,15,-1.634799,-0.471744,retain (0–179),4
114,15,0.111393,5.095905,retain (0–179),2
115,15,-5.242220,1.593607,retain (0–179),0
116,15,1.120942,4.070040,retain (0–179),2
117,15,4.506357,0.581604,retain (0–179),4
118,15,3.383026,2.164042,retain (0–179),5
119,15,-1.445210,1.122859,retain (0–179),3
120,15,-2.009606,-1.836104,retain (0–179),2
